timestamp,frame,fps,ear_left,ear_right,ear_avg,mar,ml_eye_closed_conf,ml_mouth_yawn_conf,fused_score,eye_closed_fused,perclos,closure_duration_s,yawn_duration_s,status
1778745172.7120,0,2.8,0.2471,0.2615,0.2543,0.0631,0.1451,0.2604,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745172.7908,1,19.4,0.2770,0.2725,0.2747,0.0823,0.2147,0.6033,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745172.8099,2,69.7,0.2924,0.2840,0.2882,0.0417,0.1636,0.6041,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745172.8394,3,34.6,0.2750,0.3222,0.2986,0.0132,0.1512,0.7404,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745172.8674,4,35.1,0.2755,0.3167,0.2961,0.0069,0.1293,0.7132,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745172.8994,5,31.7,0.2737,0.3140,0.2939,0.0079,0.1011,0.7911,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745172.9309,6,32.5,0.2905,0.3223,0.3064,0.0067,0.0998,0.6764,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745172.9629,7,30.0,0.2714,0.3030,0.2872,0.0078,0.1010,0.6120,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745172.9959,8,31.5,0.2893,0.2972,0.2932,0.0052,0.0958,0.6651,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.0284,9,29.6,0.2886,0.3172,0.3029,0.0076,0.1079,0.6488,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.0594,10,33.4,0.2644,0.2940,0.2792,0.0069,0.0997,0.7038,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.1399,11,12.6,0.2864,0.3179,0.3022,0.0053,0.1062,0.6313,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.1529,12,78.5,0.2832,0.3049,0.2941,0.0039,0.1062,0.6432,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.2039,13,19.1,0.3025,0.2835,0.2930,0.0030,0.1040,0.5770,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.2304,14,36.5,0.2958,0.3114,0.3036,0.0046,0.1079,0.6404,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.2678,15,26.6,0.2824,0.2898,0.2861,0.0071,0.1103,0.5743,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.2798,16,94.1,0.2766,0.2747,0.2756,0.0064,0.1103,0.5681,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.3313,17,18.6,0.2828,0.3019,0.2924,0.0077,0.1137,0.5361,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.3534,18,52.7,0.2825,0.3002,0.2913,0.0069,0.1137,0.5361,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.3954,19,24.0,0.2781,0.2975,0.2878,0.0053,0.1083,0.4806,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.4159,20,45.6,0.2839,0.2981,0.2910,0.0051,0.1082,0.4806,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.4329,21,58.7,0.2826,0.3017,0.2921,0.0055,0.1082,0.5861,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.4750,22,23.7,0.2880,0.2800,0.2840,0.0066,0.1007,0.6465,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.5391,23,15.8,0.2738,0.2801,0.2769,0.0067,0.1081,0.5943,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.5571,24,54.9,0.2736,0.2768,0.2752,0.0067,0.1132,0.6777,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.6031,25,21.9,0.2719,0.2892,0.2805,0.0050,0.1080,0.6134,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.6186,26,62.2,0.2735,0.2962,0.2849,0.0043,0.1080,0.6624,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.6676,27,20.7,0.2821,0.2910,0.2866,0.0092,0.1026,0.5909,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.6816,28,67.9,0.2834,0.2909,0.2872,0.0095,0.1025,0.5909,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.7325,29,19.2,0.2871,0.2740,0.2806,0.0107,0.1148,0.5341,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.7605,30,36.7,0.2853,0.2735,0.2794,0.0099,0.1148,0.4850,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.7955,31,29.1,0.3017,0.3057,0.3037,0.0063,0.1063,0.6075,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.8220,32,37.2,0.2904,0.3099,0.3001,0.0078,0.1131,0.6935,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.8380,33,62.6,0.2988,0.3000,0.2994,0.0082,0.1124,0.6935,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.8760,34,25.7,0.2944,0.3090,0.3017,0.0054,0.1008,0.5749,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.9406,35,15.6,0.2891,0.3010,0.2950,0.0044,0.0981,0.5774,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745173.9635,36,44.3,0.2886,0.3013,0.2950,0.0044,0.0981,0.5295,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745174.0035,37,25.4,0.2860,0.3063,0.2961,0.0070,0.0979,0.6543,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745174.0250,38,47.5,0.2890,0.3097,0.2993,0.0052,0.0951,0.6823,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745174.0680,39,22.7,0.2946,0.3015,0.2980,0.0062,0.1065,0.5358,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745174.0871,40,55.5,0.2975,0.3095,0.3035,0.0064,0.1066,0.5358,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745174.1322,41,21.6,0.2810,0.3109,0.2960,0.0075,0.0964,0.6465,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745174.1492,42,57.9,0.2795,0.3163,0.2979,0.0076,0.0964,0.6465,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745174.2143,43,15.7,0.2986,0.3031,0.3009,0.0087,0.0850,0.5210,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745174.2288,44,62.6,0.2968,0.3103,0.3035,0.0078,0.0847,0.5747,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745174.2438,45,62.5,0.2966,0.3155,0.3061,0.0090,0.0847,0.5747,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745174.2749,46,33.8,0.2383,0.2329,0.2356,0.0080,0.1279,0.5704,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745174.3396,47,15.7,0.2275,0.2186,0.2230,0.0038,0.1194,0.6161,0.0000,0,0.0000,0.0000,0.0000,NORMAL
1778745174.3546,48,62.9,0.2190,0.2097,0.2144,0.0045,0.1276,0.6854,0.0000,0,0.0000,0.0000,0.0000,NORMAL
