timestamp,frame,fps,ear_left,ear_right,ear_avg,mar,ml_eye_conf,ml_mouth_conf,fused,eye_closed_raw,eye_closed_valid,blink_dur,yawn_dur,yawn_count,perclos,status
1774194352.8785,0,2.0,0.2599,0.2471,0.2535,0.0018,0.8201,0.7990,0.2460,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.0044,1,10.0,0.2843,0.2468,0.2655,0.0004,0.7177,0.8099,0.2153,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.0746,2,14.6,0.2635,0.2518,0.2577,0.0017,0.7203,0.8222,0.2161,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.1017,3,34.6,0.2675,0.2466,0.2571,0.0017,0.7203,0.8222,0.2161,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.1307,4,34.6,0.2682,0.2496,0.2589,0.0011,0.7203,0.8222,0.2161,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.1475,5,55.6,0.2680,0.2467,0.2573,0.0011,0.7203,0.8222,0.2161,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.2180,6,14.4,0.2713,0.2551,0.2632,0.0015,0.8390,0.8048,0.2517,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.2383,7,47.7,0.2679,0.2521,0.2600,0.0013,0.8392,0.8441,0.2518,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.2574,8,54.5,0.2689,0.2537,0.2613,0.0008,0.8390,0.8048,0.2517,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.2788,9,46.0,0.2682,0.2523,0.2603,0.0008,0.8390,0.8162,0.2517,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.3471,10,14.9,0.2669,0.2339,0.2504,0.0029,0.9757,0.8013,0.2927,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.3668,11,48.1,0.2683,0.2323,0.2503,0.0027,0.9757,0.8530,0.2927,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.3946,12,36.2,0.2669,0.2297,0.2483,0.0024,0.9757,0.8530,0.2927,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.4253,13,33.7,0.2684,0.2273,0.2478,0.0025,0.9757,0.7950,0.2927,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.4739,14,20.6,0.2728,0.2189,0.2458,0.0019,0.9752,0.8531,0.2926,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.4900,15,56.0,0.2710,0.2112,0.2411,0.0022,0.9752,0.7943,0.2926,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.5192,16,38.3,0.2730,0.2196,0.2463,0.0019,0.9707,0.8531,0.2912,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.5340,17,52.8,0.2712,0.2151,0.2431,0.0019,0.9752,0.8531,0.2926,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.6183,18,12.5,0.2662,0.2307,0.2485,0.0024,0.9767,0.8085,0.2930,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.6433,19,36.7,0.2639,0.2262,0.2451,0.0028,0.9767,0.8085,0.2930,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.6743,20,32.3,0.2674,0.2313,0.2494,0.0027,0.9767,0.8085,0.2930,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.6918,21,52.6,0.2654,0.2304,0.2479,0.0025,0.9767,0.8085,0.2930,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.7469,22,19.3,0.2606,0.2251,0.2428,0.0017,0.9321,0.8210,0.2796,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.7680,23,42.0,0.2645,0.2119,0.2382,0.0011,0.9511,0.7908,0.2853,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.8002,24,31.5,0.2615,0.2140,0.2378,0.0022,0.9511,0.8135,0.2853,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.8178,25,57.0,0.2622,0.2136,0.2379,0.0021,0.9511,0.8135,0.2853,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.8900,26,14.4,0.2730,0.2309,0.2520,0.0018,0.7804,0.8580,0.2341,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.9098,27,45.9,0.2655,0.2383,0.2519,0.0011,0.7804,0.8413,0.2341,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.9268,28,49.5,0.2650,0.2354,0.2502,0.0009,0.7804,0.8413,0.2341,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194353.9469,29,53.6,0.2661,0.2342,0.2502,0.0010,0.7804,0.8413,0.2341,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.0178,30,14.8,0.2733,0.2611,0.2672,0.0020,0.7952,0.7166,0.2386,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.0354,31,52.8,0.2673,0.2444,0.2558,0.0019,0.9100,0.7653,0.2730,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.0527,32,56.8,0.2663,0.2456,0.2560,0.0024,0.8865,0.7380,0.2660,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.0701,33,56.9,0.2671,0.2439,0.2555,0.0019,0.9118,0.7380,0.2735,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.1460,34,13.6,0.2531,0.2518,0.2525,0.0071,0.9633,0.4988,0.2890,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.1615,35,56.2,0.2779,0.2297,0.2538,0.0069,0.9196,0.5790,0.2759,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.1785,36,55.6,0.2672,0.2368,0.2520,0.0053,0.9596,0.5790,0.2879,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.1968,37,55.3,0.2723,0.2356,0.2539,0.0065,0.9596,0.5541,0.2879,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.2889,38,11.0,0.2516,0.2809,0.2663,0.0026,0.9769,0.4974,0.2931,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.3169,39,35.5,0.2585,0.2739,0.2662,0.0067,0.9703,0.5486,0.2911,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.3337,40,62.9,0.2632,0.2781,0.2707,0.0048,0.9712,0.5387,0.2914,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.3488,41,73.0,0.2654,0.2791,0.2723,0.0050,0.9703,0.5387,0.2911,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.4182,42,14.2,0.2589,0.2643,0.2616,0.0049,0.9852,0.4909,0.2956,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.4405,43,46.5,0.2572,0.2395,0.2483,0.0051,0.9852,0.5306,0.2956,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.4560,44,63.9,0.2632,0.2403,0.2518,0.0049,0.9852,0.5554,0.2956,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.4720,45,61.0,0.2642,0.2441,0.2542,0.0048,0.9852,0.4885,0.2956,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.5466,46,13.4,0.2648,0.2576,0.2612,0.0037,0.9384,0.4672,0.2815,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.5651,47,54.8,0.2609,0.2557,0.2583,0.0043,0.9399,0.4645,0.2820,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.5966,48,32.1,0.2624,0.2533,0.2578,0.0041,0.9399,0.5282,0.2820,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.6270,49,32.0,0.2593,0.2524,0.2558,0.0040,0.9306,0.5282,0.2792,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.6910,50,15.6,0.2692,0.2577,0.2635,0.0027,0.9290,0.5852,0.2787,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.7069,51,66.5,0.2631,0.2640,0.2635,0.0037,0.9764,0.5579,0.2929,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.7354,52,35.5,0.2666,0.2652,0.2659,0.0032,0.9240,0.4750,0.2772,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.7512,53,61.6,0.2651,0.2676,0.2663,0.0033,0.9240,0.4750,0.2772,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.8179,54,15.1,0.2516,0.2403,0.2460,0.0036,0.8963,0.5092,0.2689,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.8453,55,36.0,0.2516,0.2411,0.2464,0.0044,0.9476,0.5340,0.2843,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.8621,56,61.5,0.2514,0.2413,0.2464,0.0044,0.8963,0.5340,0.2689,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.8767,57,67.1,0.2514,0.2412,0.2463,0.0044,0.9476,0.5340,0.2843,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.9468,58,14.3,0.2472,0.2549,0.2510,0.0035,0.9056,0.4564,0.2717,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.9701,59,43.7,0.2501,0.2637,0.2569,0.0042,0.9056,0.3975,0.2717,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194354.9864,60,59.0,0.2505,0.2621,0.2563,0.0041,0.9056,0.3975,0.2717,0,0,0.0000,0.0000,0,0.0000,NORMAL
