timestamp,frame,fps,ear_left,ear_right,ear_avg,mar,ml_eye_conf,ml_mouth_conf,fused,eye_closed_raw,eye_closed_valid,blink_dur,yawn_dur,yawn_count,perclos,status
1774194893.0673,0,1.9,0.3387,0.3000,0.3194,0.0026,0.9971,0.0899,0.2991,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.1794,1,12.4,0.3220,0.2973,0.3096,0.0256,0.9970,0.1013,0.2991,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.2585,2,12.6,0.2999,0.3187,0.3093,0.0029,0.9938,0.0882,0.2981,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.2815,3,47.7,0.3086,0.3221,0.3153,0.0026,0.9921,0.0888,0.2976,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.3075,4,37.4,0.3019,0.3120,0.3069,0.0029,0.9921,0.0858,0.2976,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.3321,5,43.2,0.2977,0.3132,0.3054,0.0036,0.9938,0.0888,0.2981,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.3981,6,13.3,0.2943,0.2848,0.2896,0.0055,0.9949,0.0894,0.2985,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.4376,7,25.0,0.2995,0.2827,0.2911,0.0065,0.9936,0.0878,0.2981,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.4676,8,46.2,0.2982,0.2720,0.2851,0.0064,0.9946,0.0939,0.2984,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.4926,9,42.1,0.2986,0.2795,0.2891,0.0085,0.9936,0.0900,0.2981,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.5256,10,28.4,0.2798,0.2592,0.2695,0.0732,0.9970,0.0915,0.2991,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.5471,11,47.1,0.2793,0.2305,0.2549,0.0241,0.9966,0.0920,0.2990,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.5691,12,52.2,0.2825,0.2296,0.2561,0.0099,0.9971,0.0946,0.2991,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.5881,13,53.5,0.2870,0.2233,0.2552,0.0078,0.9968,0.0927,0.2990,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.6547,14,15.2,0.2417,0.2735,0.2576,0.0137,0.9990,0.1124,0.2997,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.6837,15,35.1,0.2312,0.2734,0.2523,0.0078,0.9990,0.1059,0.2997,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.7008,16,58.0,0.2297,0.2576,0.2437,0.0099,0.9988,0.1096,0.2996,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.7284,17,36.9,0.2114,0.2500,0.2307,0.0092,0.9988,0.1107,0.2996,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.7979,18,14.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.8229,19,35.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.8415,20,50.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.8674,21,38.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.9255,22,17.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.9440,23,50.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.9630,24,52.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194893.9940,25,31.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.0715,26,13.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.1035,27,29.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.1205,28,63.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.1370,29,58.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.1970,30,16.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.2140,31,51.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.2426,32,38.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.2586,33,58.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.3276,34,14.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.3521,35,40.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.3691,36,58.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.3991,37,34.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.4684,38,13.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.4874,39,56.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.5074,40,52.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.5244,41,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.5979,42,13.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.6169,43,55.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.6355,44,48.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.6555,45,63.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.7252,46,13.7,0.1892,0.2596,0.2244,0.0088,0.9986,0.1081,0.2996,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.7437,47,58.8,0.2023,0.2680,0.2352,0.0341,0.9985,0.0974,0.2995,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.7607,48,60.5,0.2005,0.2742,0.2373,0.0524,0.9987,0.1046,0.2996,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.7777,49,58.2,0.2169,0.3018,0.2593,0.0060,0.9985,0.1015,0.2996,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.8702,50,10.6,0.2161,0.2495,0.2328,0.1089,0.9972,0.0951,0.2992,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.8892,51,61.8,0.2522,0.2588,0.2555,0.0114,0.9970,0.0933,0.2991,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.9142,52,41.0,0.2355,0.2523,0.2439,0.0454,0.9973,0.0957,0.2992,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.9312,53,48.7,0.2323,0.2560,0.2442,0.0115,0.9973,0.0905,0.2992,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194894.9968,54,15.3,0.2794,0.2576,0.2685,0.0174,0.9967,0.0874,0.2990,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.0245,55,39.1,0.2656,0.2464,0.2560,0.0122,0.9966,0.0858,0.2990,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.0410,56,66.3,0.2652,0.2439,0.2546,0.0094,0.9966,0.0844,0.2990,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.0564,57,55.4,0.2621,0.2477,0.2549,0.0104,0.9966,0.0872,0.2990,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.1254,58,14.4,0.2964,0.3582,0.3273,0.0114,0.9932,0.0896,0.2980,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.1430,59,53.6,0.2914,0.3436,0.3175,0.0106,0.9930,0.0887,0.2979,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.1620,60,58.3,0.2847,0.3434,0.3140,0.0073,0.9930,0.0896,0.2979,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.1789,61,51.5,0.2872,0.3436,0.3154,0.0120,0.9921,0.0887,0.2976,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.2683,62,11.3,0.3217,0.3296,0.3256,0.0066,0.9930,0.0828,0.2979,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.2873,63,60.5,0.3268,0.3307,0.3288,0.0076,0.9900,0.0828,0.2970,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.3043,64,47.5,0.3280,0.3309,0.3294,0.0074,0.9900,0.0828,0.2970,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.3253,65,47.9,0.3267,0.3336,0.3301,0.0061,0.9900,0.0828,0.2970,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.3968,66,14.1,0.2987,0.3635,0.3311,0.1131,0.9971,0.1017,0.2991,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.4168,67,57.4,0.3107,0.3526,0.3316,0.1040,0.9977,0.0985,0.2993,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.4343,68,59.1,0.3280,0.3555,0.3417,0.1335,0.9976,0.0986,0.2993,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.4613,69,37.0,0.3210,0.3507,0.3358,0.1174,0.9977,0.0986,0.2993,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.5253,70,15.6,0.2612,0.1978,0.2295,0.0891,0.9988,0.1068,0.2996,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.5418,71,53.4,0.2628,0.2038,0.2333,0.0702,0.9988,0.0970,0.2996,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.5608,72,56.5,0.2639,0.2281,0.2460,0.1143,0.9988,0.0983,0.2996,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.5788,73,66.4,0.2645,0.2253,0.2449,0.0295,0.9988,0.0990,0.2996,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.6694,74,11.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.6847,75,51.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.7042,76,56.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.7218,77,56.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.7973,78,13.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.8225,79,44.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.8381,80,56.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.8550,81,66.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.9260,82,13.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.9486,83,48.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.9646,84,62.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194895.9826,85,50.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.0683,86,11.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.0884,87,48.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.1043,88,59.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.1213,89,54.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.1998,90,12.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.2178,91,54.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.2363,92,60.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.2595,93,43.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.3256,94,14.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.3440,95,53.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.3623,96,51.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.3813,97,54.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.4692,98,11.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.4863,99,59.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.5094,100,47.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.5404,101,32.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.5972,102,16.2,0.2549,0.2876,0.2712,0.0002,0.9981,0.1013,0.2994,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.6172,103,66.0,0.2793,0.3015,0.2904,0.0026,0.9974,0.1020,0.2992,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.6355,104,48.1,0.3130,0.3047,0.3088,0.0014,0.9960,0.1032,0.2988,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.6655,105,38.0,0.2804,0.3187,0.2995,0.0053,0.9952,0.1037,0.2986,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.7259,106,15.5,0.2555,0.3125,0.2840,0.0203,0.9685,0.1043,0.2905,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.7434,107,65.7,0.2575,0.3391,0.2983,0.0171,0.9832,0.1046,0.2950,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194896.7744,108,32.9,0.2556,0.3435,0.2996,0.0095,0.9846,0.1109,0.2954,0,0,0.0000,0.0000,0,0.0000,NORMAL
