timestamp,frame,fps,ear_left,ear_right,ear_avg,mar,ml_eye_closed_conf,ml_mouth_yawn_conf,fused_score,eye_closed_fused,closure_duration_s,yawn_duration_s,status
1773318940.9257,0,1.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,NORMAL
1773318941.2012,1,3.6,0.2327,0.1862,0.2094,0.0310,0.1247,0.1752,0.4500,0,0.0000,0.0000,NORMAL
1773318941.2297,2,54.1,0.2160,0.2183,0.2171,0.0173,0.1208,0.1342,0.0000,0,0.0000,0.0000,NORMAL
1773318941.2423,3,68.6,0.2183,0.2253,0.2218,0.0210,0.1019,0.0724,0.0000,0,0.0000,0.0000,NORMAL
1773318941.2615,4,50.4,0.2189,0.2264,0.2226,0.0267,0.0913,0.0736,0.0000,0,0.0000,0.0000,NORMAL
1773318941.3047,5,23.6,0.2272,0.2183,0.2228,0.0313,0.0919,0.0660,0.0000,0,0.0000,0.0000,NORMAL
1773318941.3227,6,53.7,0.2261,0.2199,0.2230,0.0239,0.0913,0.0664,0.0000,0,0.0000,0.0000,NORMAL
1773318941.3687,7,22.3,0.2201,0.2364,0.2282,0.0297,0.0911,0.0649,0.0000,0,0.0000,0.0000,NORMAL
1773318941.3857,8,55.9,0.2224,0.2298,0.2261,0.0377,0.0892,0.0662,0.0000,0,0.0000,0.0000,NORMAL
1773318941.4343,9,21.4,0.2280,0.2408,0.2344,0.0548,0.0643,0.0672,0.0000,0,0.0000,0.0000,NORMAL
1773318941.4492,10,69.3,0.2257,0.2440,0.2348,0.0558,0.0650,0.0638,0.0000,0,0.0000,0.0000,NORMAL
1773318941.4973,11,19.8,0.2135,0.2456,0.2296,0.0214,0.0692,0.0696,0.0000,0,0.0000,0.0000,NORMAL
1773318941.5133,12,73.3,0.2143,0.2476,0.2310,0.0203,0.0692,0.0696,0.0000,0,0.0000,0.0000,NORMAL
1773318941.5603,13,21.5,0.2055,0.2581,0.2318,0.0383,0.0809,0.0707,0.0000,0,0.0000,0.0000,NORMAL
1773318941.5753,14,66.6,0.2107,0.2438,0.2272,0.0350,0.0699,0.0717,0.0000,0,0.0000,0.0000,NORMAL
1773318941.6398,15,15.5,0.2442,0.2748,0.2595,0.0106,0.0425,0.0685,0.0000,0,0.0000,0.0000,NORMAL
1773318941.6508,16,79.9,0.2389,0.2813,0.2601,0.0113,0.0432,0.0681,0.0000,0,0.0000,0.0000,NORMAL
1773318941.7043,17,19.1,0.2287,0.2751,0.2519,0.0062,0.0271,0.0654,0.0000,0,0.0000,0.0000,NORMAL
1773318941.7193,18,67.6,0.2350,0.2989,0.2670,0.0029,0.0407,0.0663,0.0000,0,0.0000,0.0000,NORMAL
1773318941.7718,19,19.2,0.2367,0.2801,0.2584,0.0066,0.0673,0.0589,0.0000,0,0.0000,0.0000,NORMAL
1773318941.7969,20,39.4,0.2243,0.2837,0.2540,0.0095,0.0588,0.0589,0.0000,0,0.0000,0.0000,NORMAL
1773318941.8314,21,29.1,0.2636,0.2671,0.2654,0.0040,0.0343,0.0622,0.0000,0,0.0000,0.0000,NORMAL
1773318941.8444,22,70.4,0.2685,0.2795,0.2740,0.0054,0.0329,0.0615,0.0000,0,0.0000,0.0000,NORMAL
1773318941.8969,23,19.5,0.2528,0.2625,0.2576,0.0125,0.0352,0.0608,0.0000,0,0.0000,0.0000,NORMAL
1773318941.9221,24,39.6,0.2500,0.2696,0.2598,0.0158,0.0350,0.0599,0.0000,0,0.0000,0.0000,NORMAL
1773318941.9611,25,25.2,0.2410,0.2740,0.2575,0.0450,0.0282,0.0518,0.0000,0,0.0000,0.0000,NORMAL
